country,year,donated_amount,received_amount
Australia,1973,46285863.0,0.0
Australia,1974,26950877.0,0.0
Australia,1975,77691781.0,0.0
Australia,1976,27718070.0,0.0
Australia,1977,72648152.0,0.0
Australia,1978,47483698.0,0.0
Australia,1979,9763598.0,0.0
Australia,1980,23283790.0,54502260.0
Australia,1981,18425831.0,747648005.0
Australia,1982,10458375.0,2599450.0
Australia,1983,7388539.0,0.0
Australia,1984,3698286.0,0.0
Australia,1985,6929573.0,0.0
Australia,1986,25229662.0,0.0
Australia,1987,18309923.0,0.0
Australia,1988,1758350.0,0.0
Australia,1989,163270223.0,0.0
Australia,1990,93432068.0,0.0
Australia,1991,518306838.0,0.0
Australia,1992,57379649.0,193553716.0
Australia,1993,37557879.0,79262311.0
Australia,1994,62005978.0,321233163.0
Australia,1995,87263724.0,343759453.0
Australia,1996,80468022.0,0.0
Australia,1997,99085271.0,0.0
Australia,1998,60046657.0,133176980.0
Australia,1999,87775767.0,0.0
Australia,2000,115957719.0,0.0
Australia,2001,99427776.0,0.0
Australia,2002,45235182.0,696882923.0
Australia,2003,94571888.0,0.0
Australia,2004,17256770.0,0.0
Australia,2005,28927690.0,0.0
Australia,2006,27058214.0,0.0
Australia,2007,13864351.0,0.0
Australia,2008,18754564.0,0.0
Australia,2009,17680084.0,0.0
Australia,2010,32806019.0,0.0
Australia,2011,41545539.0,0.0
Australia,2012,55649016.0,0.0
Australia,2013,67265056.0,0.0
Austria,1973,0.0,0.0
Austria,1974,24126329.0,0.0
Austria,1975,0.0,0.0
Austria,1976,12981849.0,0.0
Austria,1977,2608725.0,0.0
Austria,1978,27058314.0,0.0
Austria,1979,2480539.0,0.0
Austria,1980,2720513.0,157632201.0
Austria,1981,53422527.0,163916.0
Austria,1982,272169.0,58590672.0
Austria,1983,17235616.0,0.0
Austria,1984,0.0,0.0
Austria,1985,87348212.0,0.0
Austria,1986,15801537.0,0.0
Austria,1987,77374.0,0.0
Austria,1988,400964.0,0.0
Austria,1989,18299145.0,0.0
Austria,1990,3458667.0,0.0
Austria,1991,43662774.0,0.0
Austria,1992,7690278.0,0.0
Austria,1993,8599286.0,132570772.0
Austria,1994,496076.0,0.0
Austria,1995,2349112.0,0.0
Austria,1996,31485810.0,56293.0
Austria,1997,18810672.0,0.0
Austria,1998,17433736.0,0.0
Austria,1999,27735866.0,0.0
Austria,2000,41623882.0,0.0
Austria,2001,64630850.0,171695803.0
Austria,2002,64136019.0,249428720.0
Austria,2003,57940744.0,0.0
Austria,2004,46228250.0,1508.0
Austria,2005,17870615.0,127534.0
Austria,2006,8003253.0,0.0
Austria,2007,11550522.0,0.0
Austria,2008,6949094.0,0.0
Austria,2009,7871776.0,0.0
Austria,2010,8224524.0,0.0
Austria,2011,5945013.0,0.0
Austria,2012,9369281.0,0.0
Austria,2013,7169039.0,0.0
Belgium,1973,39251336.0,0.0
Belgium,1974,43588598.0,0.0
Belgium,1975,38863307.0,0.0
Belgium,1976,36126619.0,0.0
Belgium,1977,35853879.0,0.0
Belgium,1978,32189217.0,0.0
Belgium,1979,30801519.0,0.0
Belgium,1980,0.0,147868500.0
Belgium,1981,61917902.0,36477733.0
Belgium,1982,0.0,0.0
Belgium,1983,46243316.0,0.0
Belgium,1984,0.0,0.0
Belgium,1985,4191839.0,0.0
Belgium,1986,0.0,0.0
Belgium,1987,0.0,0.0
Belgium,1988,0.0,0.0
Belgium,1989,183930257.0,0.0
Belgium,1990,187058124.0,0.0
Belgium,1991,0.0,0.0
Belgium,1992,470688315.0,0.0
Belgium,1993,75567601.0,0.0
Belgium,1994,26867841.0,0.0
Belgium,1995,45999593.0,0.0
Belgium,1996,25987887.0,0.0
Belgium,1997,35402467.0,0.0
Belgium,1998,25116690.0,0.0
Belgium,1999,30505209.0,0.0
Belgium,2000,32342289.0,0.0
Belgium,2001,31859079.0,0.0
Belgium,2002,63495593.0,0.0
Belgium,2003,58875247.0,0.0
Belgium,2004,52561101.0,0.0
Belgium,2005,48285276.0,0.0
Belgium,2006,58458568.0,0.0
Belgium,2007,33187081.0,0.0
Belgium,2008,53059381.0,0.0
Belgium,2009,42809116.0,0.0
Belgium,2010,41446751.0,0.0
Belgium,2011,47828984.0,0.0
Belgium,2012,35767940.0,0.0
Belgium,2013,68317348.0,0.0
Brazil,1973,0.0,312075045.0
Brazil,1974,0.0,306601048.0
Brazil,1975,0.0,100725686.0
Brazil,1976,0.0,83580485.0
Brazil,1977,0.0,501438883.0
Brazil,1978,0.0,151531351.0
Brazil,1979,0.0,167462062.0
Brazil,1980,0.0,397591374.0
Brazil,1981,0.0,1019510084.0
Brazil,1982,0.0,577695039.0
Brazil,1983,0.0,129429939.0
Brazil,1984,0.0,643593148.0
Brazil,1985,0.0,1150188786.0
Brazil,1986,0.0,398238987.0
Brazil,1987,0.0,688641987.0
Brazil,1988,0.0,319508348.0
Brazil,1989,0.0,470795753.0
Brazil,1990,0.0,546410160.0
Brazil,1991,0.0,1398521154.0
Brazil,1992,0.0,269771857.0
Brazil,1993,0.0,726672442.0
Brazil,1994,0.0,2807702721.0
Brazil,1995,0.0,2573830958.0
Brazil,1996,0.0,1902899155.0
Brazil,1997,0.0,2033092975.0
Brazil,1998,0.0,1758374210.0
Brazil,1999,0.0,1319316622.0
Brazil,2000,0.0,1106359401.0
Brazil,2001,0.0,1574635711.0
Brazil,2002,0.0,1545038937.0
Brazil,2003,0.0,779392718.0
Brazil,2004,0.0,646604536.0
Brazil,2005,0.0,723697976.0
Brazil,2006,0.0,473262403.0
Brazil,2007,50889.0,424596650.0
Brazil,2008,168870.0,575890217.0
Brazil,2009,0.0,783901399.0
Brazil,2010,914681.0,1059210583.0
Brazil,2011,0.0,1013210831.0
Brazil,2012,0.0,2443208137.0
Brazil,2013,0.0,703048320.0
Canada,1973,437928427.0,0.0
Canada,1974,68502158.0,0.0
Canada,1975,93027681.0,0.0
Canada,1976,116287322.0,0.0
Canada,1977,38957778.0,0.0
Canada,1978,100516271.0,0.0
Canada,1979,80241209.0,0.0
Canada,1980,139264006.0,531674896.0
Canada,1981,546970726.0,2540405789.0
Canada,1982,87937147.0,170174807.0
Canada,1983,148016945.0,0.0
Canada,1984,691336664.0,153022875.0
Canada,1985,146523445.0,0.0
Canada,1986,392105553.0,0.0
Canada,1987,331152346.0,0.0
Canada,1988,149433255.0,0.0
Canada,1989,95861356.0,1961661.0
Canada,1990,146349000.0,0.0
Canada,1991,79132048.0,0.0
Canada,1992,203523019.0,0.0
Canada,1993,129123101.0,83925439.0
Canada,1994,83435990.0,0.0
Canada,1995,140853583.0,0.0
Canada,1996,240599471.0,0.0
Canada,1997,114731583.0,0.0
Canada,1998,385748294.0,0.0
Canada,1999,434102951.0,0.0
Canada,2000,356912625.0,0.0
Canada,2001,349119993.0,0.0
Canada,2002,242075816.0,587432031.0
Canada,2003,154336187.0,0.0
Canada,2004,172189837.0,0.0
Canada,2005,66617166.0,0.0
Canada,2006,60308595.0,0.0
Canada,2007,62686742.0,0.0
Canada,2008,75865089.0,55468.0
Canada,2009,74116591.0,0.0
Canada,2010,66543586.0,0.0
Canada,2011,49798170.0,0.0
Canada,2012,59322273.0,0.0
Canada,2013,54784201.0,0.0
Chile,1973,0.0,88056078.0
Chile,1974,0.0,257689227.0
Chile,1975,0.0,365408442.0
Chile,1976,0.0,155551297.0
Chile,1977,0.0,2568149.0
Chile,1978,0.0,4418418.0
Chile,1979,0.0,49451759.0
Chile,1980,0.0,17218386.0
Chile,1981,0.0,24802202.0
Chile,1982,0.0,25718071.0
Chile,1983,0.0,33869655.0
Chile,1984,0.0,314012953.0
Chile,1985,0.0,624811340.0
Chile,1986,0.0,123522992.0
Chile,1987,0.0,62625327.0
Chile,1988,0.0,73331550.0
Chile,1989,0.0,152229260.0
Chile,1990,0.0,260281186.0
Chile,1991,0.0,575859750.0
Chile,1992,0.0,686092378.0
Chile,1993,0.0,246885634.0
Chile,1994,0.0,98616016.0
Chile,1995,0.0,326285394.0
Chile,1996,0.0,66195930.0
Chile,1997,0.0,180051006.0
Chile,1998,0.0,279286896.0
Chile,1999,0.0,312658747.0
Chile,2000,0.0,143596162.0
Chile,2001,0.0,290131143.0
Chile,2002,117867.0,118858994.0
Chile,2003,32051.0,74584206.0
Chile,2004,37923.0,86004680.0
Chile,2005,49967.0,73415885.0
