date,Power generation/renewable sources,Electrical transmission/ distribution,Rail transport,Water transport,"Energy generation and supply, combinations of activities",Road transport,Gas distribution,Water supply and sanitation - large systems,Fishery development,River development
1977-01-01,348,428,0,113,72,96,0,31,13,135
1983-01-01,25,15,441,82,0,231,140,192,63,246
1984-01-01,479,118,475,268,0,0,15,278,22,158
1985-01-01,53,0,134,353,128,5,0,235,18,0
1987-01-01,107,85,85,338,0,64,0,180,17,1
1993-01-01,90,186,341,2,0,716,0,96,1,4
1996-01-01,120,323,391,104,0,316,21,563,7,22
1998-01-01,12,22,657,30,0,20,17,14,1,1
1978-01-01,105,60,0,206,103,230,0,26,11,192
1976-01-01,258,12,65,286,0,0,0,0,0,0
2001-01-01,204,3,78,0,0,48,0,123,0,0
1992-01-01,44,43,90,35,0,57,1,16,4,0
1989-01-01,910,0,73,293,0,11,0,60,69,0
1988-01-01,0,0,107,66,0,114,9,90,58,55
1986-01-01,164,73,34,244,0,30,0,348,3,12
1982-01-01,484,28,302,539,0,0,11,13,0,0
1979-01-01,0,167,57,55,59,90,0,51,12,0
1980-01-01,110,219,21,101,0,184,16,136,2,180
2008-01-01,181,321,1945,0,3,1002,0,2,0,0
1981-01-01,240,93,230,528,0,72,0,80,65,12
1990-01-01,7,72,938,144,0,605,38,7,3,0
1997-01-01,470,630,694,84,0,343,0,178,0,0
1994-01-01,195,268,167,2,0,394,144,435,3,0
1991-01-01,66,3,185,347,0,371,0,11,1,1
1995-01-01,518,287,172,27,0,579,0,215,3,0
2000-01-01,5,3,535,2,0,210,0,11,2,0
1999-01-01,158,7,800,0,0,119,0,136,11,1
2009-01-01,242,101,1726,25,0,1,0,19,0,37
2006-01-01,223,347,697,4,0,0,0,66,1,2
2007-01-01,15,604,161,48,0,0,0,1258,3,0
2005-01-01,182,0,223,1,0,0,1,659,0,0
2004-01-01,458,7,678,0,0,1,0,105,0,4
2003-01-01,16,2,386,0,0,0,0,163,2,0
2002-01-01,47,133,317,0,0,0,0,40,0,0
1973-01-01,0,0,95,0,0,0,0,2,0,9
1974-01-01,124,0,42,7,0,106,0,0,0,210
1975-01-01,0,0,60,17,0,123,0,0,0,0
2010-01-01,178,0,2769,0,3,100,0,1,2,0
2011-01-01,1036,474,436,0,0,3,0,148,0,0
2012-01-01,389,859,1619,0,4,0,0,756,0,0
2013-01-01,336,23,2251,0,0,189,0,148,0,0
