date,Power generation/renewable sources,Electrical transmission/ distribution,Rail transport,Water transport,"Energy generation and supply, combinations of activities",Road transport,Gas distribution,Water supply and sanitation - large systems,Fishery development,River development
1977-01-01,348718518,428943220,0,113099770,72911163,96693186,0,31486327,13791364,135473301
1983-01-01,25073823,15377339,441780960,82480284,0,231009890,140418696,192056445,63024251,246061918
1984-01-01,479805457,118979652,475235242,268770210,0,565630,15675745,278663483,22043987,158696437
1985-01-01,53703140,0,134596484,353650264,128074768,5234590,0,235252446,18911321,0
1987-01-01,107755657,85897691,85117635,338107630,0,64150629,0,180976903,17538512,1648944
1993-01-01,90780001,186503409,341385289,2282040,0,716677486,0,96024677,1744317,4064342
1996-01-01,120338108,323898359,391229602,104995970,0,316727275,21381183,563487309,7233617,22114239
1998-01-01,12774435,22595607,657668408,30675110,0,20304325,17233732,14028977,1260961,1045791
1978-01-01,105991262,60803780,0,206924611,103885863,230527038,0,26344804,11587284,192030450
1976-01-01,258500419,12905925,65859994,286401381,0,0,0,101006,0,0
2001-01-01,204411855,3036159,78742572,933354,0,48922395,29987,123389694,242076,486815
1992-01-01,44999636,43198879,90394219,35717019,0,57513660,1721851,16478151,4808384,926799
1989-01-01,910336207,293457,73959565,293085064,0,11751717,0,60952188,69907570,0
1988-01-01,0,0,107365899,66229290,0,114242115,9137956,90219004,58329728,55551604
1986-01-01,164769263,73796088,34843304,244667701,0,30606432,0,348040177,3249983,12247207
1982-01-01,484434111,28131576,302371098,539899550,0,0,11967718,13763587,540992,0
1979-01-01,0,167824485,57275683,55318408,59307807,90213444,0,51741958,12049695,0
1980-01-01,110811408,219782974,21776984,101916042,0,184490941,16584427,136725340,2371128,180426040
2008-01-01,181083150,321561290,1945744781,60934,3578306,1002943970,1318,2929684,425059,187093
1981-01-01,240636248,93435632,230395196,528975257,0,72962599,0,80637432,65944086,12563499
1990-01-01,7572945,72223995,938279048,144622275,0,605054823,38014182,7141208,3169761,394744
1997-01-01,470215385,630223419,694798740,84987109,0,343379207,0,178490616,971138,1387
1994-01-01,195628395,268819042,167636496,2415474,0,394593884,144902686,435159540,3534957,0
1991-01-01,66239728,3768379,185736779,347618410,0,371109121,0,11163286,1273805,1006844
1995-01-01,518374380,287042006,172767802,27412757,0,579313377,0,215643466,3588249,0
2000-01-01,5131051,3574821,535115398,2195293,0,210601475,0,11707635,2660397,184626
1999-01-01,158385618,7818023,800042829,236328,0,119430871,0,136422390,11644950,1319857
2009-01-01,242645248,101455838,1726078347,25508636,0,1729209,0,19190650,554189,37960970
2006-01-01,223553347,347125788,697248639,4245769,0,192870,549052,66565415,1204855,2851664
2007-01-01,15479641,604859426,161756943,48783615,0,425882,736327,1258260936,3643504,173714
2005-01-01,182849973,177276,223491419,1152452,0,866558,1994827,659202554,968547,182261
2004-01-01,458289920,7262387,678991354,874497,0,1254765,915912,105962433,541969,4616903
2003-01-01,16126597,2360035,386716108,722438,0,658786,92669,163354758,2965177,347226
2002-01-01,47637502,133424969,317903789,638670,0,700388,0,40238275,168724,779444
1973-01-01,0,0,95792628,0,0,424695,0,2256348,0,9851407
1974-01-01,124861445,0,42563758,7230311,0,106966027,0,0,0,210634245
1975-01-01,0,0,60080677,17733444,0,123493720,0,0,0,0
2010-01-01,178425707,0,2769998813,947239,3008056,100504528,0,1379271,2199064,231955
2011-01-01,1036425472,474897025,436777967,956695,437146,3752113,0,148363024,953138,543836
2012-01-01,389711520,859477387,1619976788,222128,4674667,273422,0,756181890,301987,112586
2013-01-01,336238470,23400501,2251372351,131332,0,189110161,0,148222619,829070,657544
