date,Air transport,Rail transport,Industrial development,Power generation/non-renewable sources,RESCHEDULING AND REFINANCING,Import support (capital goods),Social/ welfare services,Telecommunications,Power generation/renewable sources,Sectors not specified
1972-12-31,0,95792628,200776443,27825666,0,291886347,0,205122036,0,417531876
1973-01-31,0,95792628,200776443,27825666,0,291886347,0,205122036,0,417531876
1973-02-28,0,95792628,200776443,27825666,0,291886347,0,205122036,0,417531876
1973-03-31,0,95792628,200776443,27825666,0,291886347,0,205122036,0,417531876
1973-04-30,0,95792628,200776443,27825666,0,291886347,0,205122036,0,417531876
1973-05-31,0,95792628,200776443,27825666,0,291886347,0,205122036,0,417531876
1973-06-30,0,95792628,200776443,27825666,0,291886347,0,205122036,0,417531876
1973-07-31,0,95792628,200776443,27825666,0,291886347,0,205122036,0,417531876
1973-08-31,0,95792628,200776443,27825666,0,291886347,0,205122036,0,417531876
1973-09-30,0,95792628,200776443,27825666,0,291886347,0,205122036,0,417531876
1973-10-31,0,95792628,200776443,27825666,0,291886347,0,205122036,0,417531876
1973-11-30,0,95792628,200776443,27825666,0,291886347,0,205122036,0,417531876
1973-12-31,15256725,42563758,153995109,39880530,0,227194054,0,180475251,124861445,1494468694
1974-01-31,15256725,42563758,153995109,39880530,0,227194054,0,180475251,124861445,1494468694
1974-02-28,15256725,42563758,153995109,39880530,0,227194054,0,180475251,124861445,1494468694
1974-03-31,15256725,42563758,153995109,39880530,0,227194054,0,180475251,124861445,1494468694
1974-04-30,15256725,42563758,153995109,39880530,0,227194054,0,180475251,124861445,1494468694
1974-05-31,15256725,42563758,153995109,39880530,0,227194054,0,180475251,124861445,1494468694
1974-06-30,15256725,42563758,153995109,39880530,0,227194054,0,180475251,124861445,1494468694
1974-07-31,15256725,42563758,153995109,39880530,0,227194054,0,180475251,124861445,1494468694
1974-08-31,15256725,42563758,153995109,39880530,0,227194054,0,180475251,124861445,1494468694
1974-09-30,15256725,42563758,153995109,39880530,0,227194054,0,180475251,124861445,1494468694
1974-10-31,15256725,42563758,153995109,39880530,0,227194054,0,180475251,124861445,1494468694
1974-11-30,15256725,42563758,153995109,39880530,0,227194054,0,180475251,124861445,1494468694
1974-12-31,15829434,60080677,141256857,33166434,0,282632241,0,33166434,0,241789044
1975-01-31,15829434,60080677,141256857,33166434,0,282632241,0,33166434,0,241789044
1975-02-28,15829434,60080677,141256857,33166434,0,282632241,0,33166434,0,241789044
1975-03-31,15829434,60080677,141256857,33166434,0,282632241,0,33166434,0,241789044
1975-04-30,15829434,60080677,141256857,33166434,0,282632241,0,33166434,0,241789044
1975-05-31,15829434,60080677,141256857,33166434,0,282632241,0,33166434,0,241789044
1975-06-30,15829434,60080677,141256857,33166434,0,282632241,0,33166434,0,241789044
1975-07-31,15829434,60080677,141256857,33166434,0,282632241,0,33166434,0,241789044
1975-08-31,15829434,60080677,141256857,33166434,0,282632241,0,33166434,0,241789044
1975-09-30,15829434,60080677,141256857,33166434,0,282632241,0,33166434,0,241789044
1975-10-31,15829434,60080677,141256857,33166434,0,282632241,0,33166434,0,241789044
1975-11-30,15829434,60080677,141256857,33166434,0,282632241,0,33166434,0,241789044
1975-12-31,0,65859994,180729570,0,0,154515986,22193818,101268177,258500419,20109296
1976-01-31,0,65859994,180729570,0,0,154515986,22193818,101268177,258500419,20109296
1976-02-29,0,65859994,180729570,0,0,154515986,22193818,101268177,258500419,20109296
1976-03-31,0,65859994,180729570,0,0,154515986,22193818,101268177,258500419,20109296
1976-04-30,0,65859994,180729570,0,0,154515986,22193818,101268177,258500419,20109296
