date,Power generation/renewable sources,Electrical transmission/ distribution,Rail transport,Water transport,"Energy generation and supply, combinations of activities",Road transport,Gas distribution,Water supply and sanitation - large systems,Fishery development,River development
1972-12-31,0,0,95792628,0,0,424695,0,2256348,0,9851407
1973-01-31,0,0,95792628,0,0,424695,0,2256348,0,9851407
1973-02-28,0,0,95792628,0,0,424695,0,2256348,0,9851407
1973-03-31,0,0,95792628,0,0,424695,0,2256348,0,9851407
1973-04-30,0,0,95792628,0,0,424695,0,2256348,0,9851407
1973-05-31,0,0,95792628,0,0,424695,0,2256348,0,9851407
1973-06-30,0,0,95792628,0,0,424695,0,2256348,0,9851407
1973-07-31,0,0,95792628,0,0,424695,0,2256348,0,9851407
1973-08-31,0,0,95792628,0,0,424695,0,2256348,0,9851407
1973-09-30,0,0,95792628,0,0,424695,0,2256348,0,9851407
1973-10-31,0,0,95792628,0,0,424695,0,2256348,0,9851407
1973-11-30,0,0,95792628,0,0,424695,0,2256348,0,9851407
1973-12-31,124861445,0,42563758,7230311,0,106966027,0,0,0,210634245
1974-01-31,124861445,0,42563758,7230311,0,106966027,0,0,0,210634245
1974-02-28,124861445,0,42563758,7230311,0,106966027,0,0,0,210634245
1974-03-31,124861445,0,42563758,7230311,0,106966027,0,0,0,210634245
1974-04-30,124861445,0,42563758,7230311,0,106966027,0,0,0,210634245
1974-05-31,124861445,0,42563758,7230311,0,106966027,0,0,0,210634245
1974-06-30,124861445,0,42563758,7230311,0,106966027,0,0,0,210634245
1974-07-31,124861445,0,42563758,7230311,0,106966027,0,0,0,210634245
1974-08-31,124861445,0,42563758,7230311,0,106966027,0,0,0,210634245
1974-09-30,124861445,0,42563758,7230311,0,106966027,0,0,0,210634245
1974-10-31,124861445,0,42563758,7230311,0,106966027,0,0,0,210634245
1974-11-30,124861445,0,42563758,7230311,0,106966027,0,0,0,210634245
1974-12-31,0,0,60080677,17733444,0,123493720,0,0,0,0
1975-01-31,0,0,60080677,17733444,0,123493720,0,0,0,0
1975-02-28,0,0,60080677,17733444,0,123493720,0,0,0,0
1975-03-31,0,0,60080677,17733444,0,123493720,0,0,0,0
1975-04-30,0,0,60080677,17733444,0,123493720,0,0,0,0
1975-05-31,0,0,60080677,17733444,0,123493720,0,0,0,0
1975-06-30,0,0,60080677,17733444,0,123493720,0,0,0,0
1975-07-31,0,0,60080677,17733444,0,123493720,0,0,0,0
1975-08-31,0,0,60080677,17733444,0,123493720,0,0,0,0
1975-09-30,0,0,60080677,17733444,0,123493720,0,0,0,0
1975-10-31,0,0,60080677,17733444,0,123493720,0,0,0,0
