donor,recipient,purpose,amount
United States,India,Air transport,2273859378.0
United States,India,Rail transport,35997362.0
United States,India,Industrial development,1295117393.0
United States,India,Power generation/non-renewable sources,1518862446.0
United States,India,RESCHEDULING AND REFINANCING,0.0
United States,Thailand,Air transport,1378790278.0
United States,Thailand,Rail transport,18742.0
United States,Thailand,Industrial development,1460262364.0
United States,Thailand,Power generation/non-renewable sources,619621837.0
United States,Thailand,RESCHEDULING AND REFINANCING,0.0
United States,Brazil,Air transport,3456194517.0
United States,Brazil,Rail transport,309560040.0
United States,Brazil,Industrial development,1785108528.0
United States,Brazil,Power generation/non-renewable sources,999174363.0
United States,Brazil,RESCHEDULING AND REFINANCING,0.0
United States,Colombia,Air transport,221288646.0
United States,Colombia,Rail transport,154388.0
United States,Colombia,Industrial development,789030171.0
United States,Colombia,Power generation/non-renewable sources,1530577061.0
United States,Colombia,RESCHEDULING AND REFINANCING,0.0
United States,Korea,Air transport,5260158081.0
United States,Korea,Rail transport,105533013.0
United States,Korea,Industrial development,866792664.0
United States,Korea,Power generation/non-renewable sources,1397886659.0
United States,Korea,RESCHEDULING AND REFINANCING,0.0
United States,Poland,Air transport,815085967.0
United States,Poland,Rail transport,0.0
United States,Poland,Industrial development,548534715.0
United States,Poland,Power generation/non-renewable sources,396007.0
United States,Poland,RESCHEDULING AND REFINANCING,0.0
United States,South Africa,Air transport,840454769.0
United States,South Africa,Rail transport,533570.0
United States,South Africa,Industrial development,9681699.0
United States,South Africa,Power generation/non-renewable sources,1620571.0
United States,South Africa,RESCHEDULING AND REFINANCING,0.0
United States,Kuwait,Air transport,0.0
United States,Kuwait,Rail transport,0.0
United States,Kuwait,Industrial development,278059881.0
United States,Kuwait,Power generation/non-renewable sources,24748632.0
United States,Kuwait,RESCHEDULING AND REFINANCING,0.0
United States,Chile,Air transport,777158312.0
United States,Chile,Rail transport,16601.0
United States,Chile,Industrial development,675643062.0
United States,Chile,Power generation/non-renewable sources,67384606.0
United States,Chile,RESCHEDULING AND REFINANCING,0.0
United States,Saudi Arabia,Air transport,3423114025.0
United States,Saudi Arabia,Rail transport,386553.0
United States,Saudi Arabia,Industrial development,254167658.0
United States,Saudi Arabia,Power generation/non-renewable sources,126190249.0
United States,Saudi Arabia,RESCHEDULING AND REFINANCING,0.0
Japan,India,Air transport,0.0
Japan,India,Rail transport,11519785524.0
Japan,India,Industrial development,2540561929.0
Japan,India,Power generation/non-renewable sources,4087006797.0
Japan,India,RESCHEDULING AND REFINANCING,0.0
Japan,Thailand,Air transport,2648319527.0
Japan,Thailand,Rail transport,5249205847.0
Japan,Thailand,Industrial development,1348021971.0
Japan,Thailand,Power generation/non-renewable sources,22364340.0
Japan,Thailand,RESCHEDULING AND REFINANCING,0.0
Japan,Brazil,Air transport,100165.0
Japan,Brazil,Rail transport,1249130.0
Japan,Brazil,Industrial development,301942282.0
Japan,Brazil,Power generation/non-renewable sources,0.0
Japan,Brazil,RESCHEDULING AND REFINANCING,0.0
Japan,Colombia,Air transport,23.0
Japan,Colombia,Rail transport,26351.0
Japan,Colombia,Industrial development,161290.0
Japan,Colombia,Power generation/non-renewable sources,0.0
Japan,Colombia,RESCHEDULING AND REFINANCING,0.0
Japan,Korea,Air transport,0.0
Japan,Korea,Rail transport,903052049.0
Japan,Korea,Industrial development,508053866.0
Japan,Korea,Power generation/non-renewable sources,0.0
Japan,Korea,RESCHEDULING AND REFINANCING,0.0
Japan,Poland,Air transport,0.0
Japan,Poland,Rail transport,0.0
Japan,Poland,Industrial development,0.0
Japan,Poland,Power generation/non-renewable sources,0.0
Japan,Poland,RESCHEDULING AND REFINANCING,0.0
Japan,South Africa,Air transport,0.0
Japan,South Africa,Rail transport,65416241.0
Japan,South Africa,Industrial development,185091.0
Japan,South Africa,Power generation/non-renewable sources,0.0
Japan,South Africa,RESCHEDULING AND REFINANCING,0.0
Japan,Kuwait,Air transport,0.0
Japan,Kuwait,Rail transport,0.0
Japan,Kuwait,Industrial development,0.0
Japan,Kuwait,Power generation/non-renewable sources,0.0
Japan,Kuwait,RESCHEDULING AND REFINANCING,0.0
Japan,Chile,Air transport,0.0
Japan,Chile,Rail transport,67201891.0
Japan,Chile,Industrial development,5379848.0
Japan,Chile,Power generation/non-renewable sources,0.0
Japan,Chile,RESCHEDULING AND REFINANCING,0.0
Japan,Saudi Arabia,Air transport,0.0
Japan,Saudi Arabia,Rail transport,0.0
Japan,Saudi Arabia,Industrial development,222224525.0
Japan,Saudi Arabia,Power generation/non-renewable sources,0.0
Japan,Saudi Arabia,RESCHEDULING AND REFINANCING,0.0
Germany,India,Air transport,0.0
Germany,India,Rail transport,284985226.0
Germany,India,Industrial development,1768993054.0
Germany,India,Power generation/non-renewable sources,1564258419.0
Germany,India,RESCHEDULING AND REFINANCING,0.0
Germany,Thailand,Air transport,0.0
Germany,Thailand,Rail transport,162391210.0
Germany,Thailand,Industrial development,166368356.0
Germany,Thailand,Power generation/non-renewable sources,54313899.0
Germany,Thailand,RESCHEDULING AND REFINANCING,0.0
Germany,Brazil,Air transport,0.0
Germany,Brazil,Rail transport,39749314.0
Germany,Brazil,Industrial development,82355164.0
Germany,Brazil,Power generation/non-renewable sources,0.0
Germany,Brazil,RESCHEDULING AND REFINANCING,0.0
Germany,Colombia,Air transport,15829434.0
Germany,Colombia,Rail transport,191557984.0
Germany,Colombia,Industrial development,53036463.0
Germany,Colombia,Power generation/non-renewable sources,33166434.0
Germany,Colombia,RESCHEDULING AND REFINANCING,0.0
Germany,Korea,Air transport,0.0
Germany,Korea,Rail transport,29015007.0
Germany,Korea,Industrial development,75072695.0
Germany,Korea,Power generation/non-renewable sources,0.0
Germany,Korea,RESCHEDULING AND REFINANCING,0.0
